expected,modelgen
0.75,0.66
0.75,0.8
0.75,0.82
0.75,0.67
0.75,0.77
0.75,0.77
0.75,0.78
0.75,0.78
0.75,0.81
0.75,0.71
0.75,0.77
0.75,0.8
0.75,0.79
0.75,0.8
0.75,0.77
0.75,0.77
0.75,0.75
0.75,0.8
0.75,0.81
0.75,0.8
0.75,0.8
0.75,0.76
0.75,0.78
0.75,0.82
0.75,0.69
0.75,0.79
0.75,0.8
0.75,0.72
0.75,0.81
0.75,0.77
0.75,0.77
0.75,0.75
0.75,0.81
0.75,0.69
0.75,0.81
0.75,0.72
0.75,0.81
0.75,0.85
0.75,0.77
0.75,0.82
0.75,0.83
0.75,0.83
0.75,0.78
0.75,0.71
0.75,0.83
0.75,0.81
0.75,0.79
0.75,0.81
0.75,0.82
0.75,0.76
0.75,0.74
0.75,0.74
0.75,0.79
0.75,0.76
0.75,0.71
0.75,0.8
0.75,0.76
0.75,0.79
0.75,0.81
0.75,0.82
0.75,0.72
0.75,0.72
0.75,0.77
0.75,0.77
0.75,0.79
0.75,0.75
0.75,0.84
0.75,0.86
0.75,0.74
0.75,0.79
0.75,0.74
0.75,0.78
0.75,0.8
0.75,0.76
0.75,0.71
0.75,0.86
0.75,0.76
0.75,0.72
0.75,0.78
0.75,0.74
0.75,0.8
0.75,0.74
0.75,0.82
0.75,0.8
0.75,0.77
0.75,0.75
0.75,0.82
0.75,0.81
0.75,0.75
0.75,0.77
0.75,0.78
0.75,0.77
0.75,0.83
0.75,0.73
0.75,0.73
0.75,0.65
0.75,0.79
0.75,0.79
0.75,0.75
0.75,0.81
